Sl No,HDD NO,Model & Ton,Model Number,DOMFG,Engine No,Location,Under Supervision & Number,Deployment Date
1,HDD No_33,XCMG_32 Ton,QSB59.9-C210-30,8/7/2025,93492694,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
2,HDD No_34,XCMG_32 Ton,QSB59.9-C210-30,9/7/2025,93492695,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
3,HDD No_35,XCMG_32 Ton,QSB59.9-C210-30,18/7/2025,93497844,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
4,HDD No_36,XCMG_32 Ton,QSB59.9-C210-30,18/7/2025,93497846,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
5,HDD No_37,XCMG_32 Ton,QSB59.9-C210-30,20/7/2025,93498944,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
6,HDD No_38,XCMG_32 Ton,QSB59.9-C210-30,20/7/2025,93498945,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
7,HDD No_39,XCMG_32 Ton,QSB59.9-C210-30,20/7/2025,93498946,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
8,HDD No_40,XCMG_32 Ton,QSB59.9-C210-30,20/7/2025,93498947,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
9,HDD No_41,XCMG_32 Ton,QSB59.9-C210-30,20/7/2025,93498948,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
10,HDD No_42,XCMG_32 Ton,QSB59.9-C210-30,20/7/2025,93498949,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
11,HDD No_43,XCMG_32 Ton,QSB59.9-C210-30,20/7/2025,93498950,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
12,HDD No_44,XCMG_32 Ton,QSB59.9-C210-30,24/7/2025,93500868,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
13,HDD No_45,XCMG_32 Ton,QSB59.9-C210-30,24/7/2025,93500869,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
14,HDD No_46,XCMG_32 Ton,QSB59.9-C210-30,24/7/2025,93500870,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025
15,HDD No_47,XCMG_32 Ton,QSB59.9-C210-30,20/7/2025,93500871,Ernakulam werehouse,Rajkumar Pandey - 8292439249,1Sep2025